"hh_income","age","female","mean_wtp","lower","upper"
25,20,0,854.725023891313,543.693716965228,1182.96820324845
25,20,1,569.39462760173,312.90246953178,907.475007187674
25,30,0,917.073682410053,630.711551384887,1217.91147548916
25,30,1,581.319142723771,353.651912748967,859.540001676404
25,40,0,866.654448630213,547.564522862151,1194.46386355932
25,40,1,509.36395753492,291.164699054146,768.636075825507
25,50,0,406.549352257095,179.423966912008,724.334594733315
25,50,1,311.368838174163,144.779402135466,547.111690713956
25,60,0,203.712338270539,73.9380733434669,416.800673419575
25,60,1,185.011044123449,81.3322995325125,348.375759615493
25,70,0,103.071985738699,31.4944352069001,245.628125329871
25,70,1,111.15618010568,44.1792991358006,223.294093376284
25,80,0,106.921447312235,31.5647264714566,296.211701177816
25,80,1,127.881124302185,40.0220576442049,304.014282042064
30,20,0,897.679756841065,605.598071901693,1197.69264417603
30,20,1,591.54740042881,324.442540524374,929.553708556925
30,30,0,960.910919470798,684.29683239624,1276.34342255356
30,30,1,611.830483684171,362.453226059159,942.334093268919
30,40,0,911.63769648194,619.561565250405,1243.74591654579
30,40,1,523.426585743615,293.241939289923,824.498772097418
30,50,0,434.928909423171,202.965333265724,756.509424732346
30,50,1,319.233992694972,150.615381606631,558.965235384418
30,60,0,215.175776888589,86.9705070377919,424.299486398376
30,60,1,185.862060377888,83.3331459556257,351.288886568928
30,70,0,108.839540113638,39.0530636758125,238.68492437067
30,70,1,116.184221347116,44.9283303348505,232.857439230261
30,80,0,114.227799121414,32.3712480315848,274.816509917784
30,80,1,136.780536492818,45.506510491828,298.191437765563
30,85,1,123.230400964357,38.8379521264195,280.827473343865
42.5,20,0,905.801767071269,579.088120644164,1217.92649915346
42.5,20,1,529.755055553314,311.05820920531,824.205275271606
42.5,30,0,978.183110001989,703.500377059992,1267.94217343429
42.5,30,1,556.58515893777,357.83637804411,811.039191303644
42.5,40,0,934.170690677125,647.166798924608,1241.96154233341
42.5,40,1,501.145174172157,296.259063422914,787.537461161708
42.5,50,0,442.718843751914,212.0251886927,720.003175022394
42.5,50,1,278.837156584449,139.272374173237,452.997031497051
42.5,60,0,219.086598245284,94.4159909048387,420.940793256669
42.5,60,1,162.413253404346,77.8866409875405,303.530663452786
42.5,70,0,111.501904895177,41.8774911571105,249.524590751966
42.5,70,1,105.389793819895,42.2179856844653,210.745270660422
42.5,80,0,119.247911705905,32.9829924643665,310.129050583142
42.5,80,1,113.297479408926,35.9710826221294,269.564995193141
62.5,20,0,1068.81908750593,768.129379828887,1353.35652129804
62.5,20,1,563.817661520792,342.979241658922,819.317826467019
