"hh_income","age","female","mean_wtp","lower","upper"
25,20,0,1032.25297553368,870.663282469011,1202.26256297625
25,20,1,650.342915311939,497.628852465302,825.401650756887
25,30,0,812.986294744164,674.28036754609,964.988743180411
25,30,1,460.453466274076,355.392154002174,584.558581718006
25,40,0,613.578053420482,491.601119384393,754.710006879389
25,40,1,309.717942155748,236.360788612499,390.838813512308
25,50,0,436.619586173131,330.761587313304,562.998804901336
25,50,1,203.644071201094,148.358543378738,274.956371541313
25,60,0,296.780660641571,205.864791799115,410.649133238786
25,60,1,129.446087479686,87.5390027700725,185.661843627718
25,70,0,197.838867052615,122.179451769574,301.022547470075
25,70,1,76.6814604636097,48.6962432617778,116.515695256257
25,80,0,116.741500936399,65.2005805504757,192.274480269507
25,80,1,48.8277651985987,29.3858924426246,78.9540141890797
30,20,0,1062.50791873238,905.460739226662,1229.00030625769
30,20,1,690.01707058719,527.333966233434,875.592677103686
30,30,0,849.009033268749,707.809316570253,1005.93603388017
30,30,1,499.779282815197,380.354342736551,645.583678575488
30,40,0,643.06234407657,520.314638980056,786.863504971602
30,40,1,334.877553958153,254.377303561497,436.340055118018
30,50,0,471.638486400366,356.962754824494,609.254924125306
30,50,1,223.054555125195,161.39323508204,303.168121550892
30,60,0,321.122491725942,224.184907854331,442.926248701517
30,60,1,141.242383066155,95.6064369420143,200.507025390151
30,70,0,208.897339008746,130.927672534818,314.605995957204
30,70,1,85.5746259026665,53.935809717755,129.767475125945
30,80,0,129.899841912567,72.4945490966374,214.237970299867
30,80,1,54.3019001455479,32.638256769467,87.4573636147472
30,85,1,40.4004397667104,24.5087009788019,66.284401830424
42.5,20,0,1150.16971488913,991.029026080668,1320.17555983596
42.5,20,1,741.712195500116,590.937308825791,907.7864981478
42.5,30,0,925.62850044649,787.901580408083,1077.87589690083
42.5,30,1,548.379870681831,436.318539509985,681.837994264929
42.5,40,0,720.424545081232,593.203238818724,869.598560668752
42.5,40,1,384.784485219369,299.094566598158,491.109254691322
42.5,50,0,513.212926646392,408.425457028157,629.483126807372
42.5,50,1,249.915332380516,189.548074429448,315.852090759814
42.5,60,0,368.579950591939,266.000298816671,494.697949194377
42.5,60,1,162.725387919768,114.183606889717,227.066236578412
42.5,70,0,239.806215170487,156.488651948974,347.94902206963
42.5,70,1,102.397177052002,65.5013723717579,152.788622216674
42.5,80,0,160.98601458549,91.8697551284465,257.593485067175
42.5,80,1,61.554363808931,36.9690581524074,97.9558159385374
62.5,20,0,1260.84950808291,1120.92035716415,1408.40477486015
62.5,20,1,854.68493808187,704.656194220111,1008.7849165742
62.5,30,0,1048.57125950699,919.876879276118,1193.54130472091
62.5,30,1,651.47861082663,534.548566261903,780.840046488825
62.5,40,0,846.446639025118,715.13703784339,994.497617358253
62.5,40,1,477.032667948442,381.607268396209,596.985326737885
62.5,50,0,638.467703906183,516.33688533638,782.762551150439
62.5,50,1,320.648650190189,250.414788709275,404.772331683942
62.5,60,0,464.876685173005,347.585213508396,603.250850250078
62.5,60,1,212.696242599749,154.088991255345,289.040072542902
62.5,70,0,310.068130053108,210.658175302446,437.306062353865
62.5,70,1,133.090955493712,88.1062396543546,192.757356266106
62.5,80,0,194.280331112831,117.507656469452,298.482929461992
62.5,80,1,83.5593380768764,50.1363811217803,131.163130641248
62.5,85,0,154.127620569238,87.0231218404072,249.235238401073
87.5,20,0,1414.81822079333,1276.74094891026,1555.45526561566
87.5,20,1,1008.8338872552,853.729632600322,1164.44994546513
87.5,30,0,1210.61382528358,1080.96113276535,1352.57056480797
87.5,30,1,808.021700822394,672.25283478559,966.721139683661
87.5,40,0,980.280220379562,866.047004253999,1105.18087276685
87.5,40,1,599.617347360444,497.37530399311,724.225520701146
87.5,50,0,805.053396759022,665.25712273768,951.985746901259
87.5,50,1,432.260441449692,342.541385295289,542.538246846488
87.5,60,0,573.268580927447,451.706821031384,712.218859275925
87.5,60,1,293.118310461803,217.990415927305,387.777991521962
87.5,70,0,413.46734177517,293.623073284916,557.333913268376
87.5,70,1,192.003528248562,130.204857437407,271.80209686665
87.5,80,0,274.653622888876,173.396382014725,406.288460043304
87.5,80,1,115.828971437276,71.3895313097179,177.987271922386
125,20,0,1595.72233773066,1473.7519709012,1710.95342902754
125,20,1,1242.75530580364,1072.95090237758,1408.40625011592
125,30,0,1420.72404956547,1300.53461335392,1546.59366040015
125,30,1,1032.33906824405,880.066231193998,1192.85585471468
125,40,0,1222.0665151801,1096.27817114515,1360.69874816198
125,40,1,810.91519665643,685.49623532648,946.353508488888
125,50,0,997.97420048952,866.796914593747,1137.85407251104
125,50,1,618.223466790923,502.701407155687,755.545606261964
125,60,0,809.844206735873,656.218633287028,972.102714481336
125,60,1,445.738365104905,341.512776017473,571.226831482248
125,70,0,589.43796617706,443.020246566264,756.485210956988
125,70,1,303.205014132568,212.521087304344,415.889805826799
125,80,0,407.83629711538,276.136540419092,570.223396132343
125,80,1,187.352404971536,120.26169067624,276.027915992036
175,20,1,1527.80913301711,1350.99632123882,1687.1995944669
175,30,0,1660.74080610467,1541.63133093335,1766.13905561274
175,30,1,1323.70564413043,1153.49393322362,1481.13699875908
175,40,0,1491.86896766464,1360.07941210185,1617.27750740776
175,40,1,1132.65978452068,960.940667307441,1313.8371024765
175,50,0,1307.72075592035,1152.48245645829,1460.20477544189
175,50,1,919.913947270617,754.688190411802,1102.90067939687
175,60,0,1095.60267872991,920.894726045721,1274.29984467928
175,60,1,687.059308789917,542.269594214693,851.150170692464
175,70,1,500.558771026028,367.536432001934,658.947189517447
175,80,0,657.295576636602,469.294911045303,867.977001198176
200,20,0,1836.20253292137,1752.72502667101,1901.00832949043
200,30,0,1746.12580969047,1638.04027872675,1838.39391817962
200,30,1,1471.38817867189,1290.01222465669,1638.96462396847
200,40,0,1611.40998033016,1477.205661675,1730.75376653966
200,40,1,1264.44839068328,1086.36164110458,1436.06056140639
200,50,0,1450.24581141912,1287.82056168906,1600.07596938267
200,50,1,1060.42723947522,876.885513212729,1255.48666264112
200,60,0,1246.54429076902,1058.77088473249,1427.09535196682
200,60,1,857.595385523683,670.811109875361,1061.79608570043
200,70,1,644.999182529396,469.613653629908,846.128010812736
200,80,1,453.615821684932,302.944146651009,640.419845278193
