"hh_income","age","female","mean_wtp","lower","upper"
25,20,0,1031.45289353297,872.176818936938,1198.32348411379
25,20,1,648.176809073076,494.303041591001,829.668371520167
25,30,0,812.640588050389,675.725658761289,958.530867580174
25,30,1,459.454080968957,351.743994826993,586.924756595434
25,40,0,613.187348844351,489.702258132153,749.178103767932
25,40,1,309.378804927315,236.716818158005,393.698636189839
25,50,0,436.553833494753,329.906558681635,554.635420118194
25,50,1,203.183140975939,148.706396488758,273.447448914105
25,60,0,296.77966086143,204.764531860453,401.404240013054
25,60,1,128.919920154112,86.7225251647736,185.327633002887
25,70,0,197.424341131847,120.213886088378,292.681404837816
25,70,1,76.5214247758635,48.1354220889667,114.461401051516
25,80,0,117.090959658521,63.9354370828228,186.274323419319
25,80,1,48.5405089428981,29.0850680748474,77.1881545162509
30,20,0,1061.82062947977,905.646925748303,1223.80126055504
30,20,1,686.845694317987,523.787288184376,877.346105393611
30,30,0,848.209770756533,709.638615774624,1001.7743192638
30,30,1,497.436844403834,378.232784183359,643.270196750125
30,40,0,642.522495017478,518.602520504292,781.008119126043
30,40,1,333.969025043046,254.778991377411,432.462330798562
30,50,0,470.572568069128,354.719804197761,603.467802966869
30,50,1,222.082422120875,161.465703322302,301.814361867944
30,60,0,320.590607849108,222.210748041686,433.218381351031
30,60,1,140.483193781899,94.6334819816215,200.507716022764
30,70,0,208.657902857224,129.133177472142,305.213437860381
30,70,1,85.1382805927286,53.3579046440692,128.514407074571
30,80,0,129.882640097899,71.0620583871836,206.833842475863
30,80,1,53.8297661585342,32.0664177813939,85.2351526870641
30,85,1,40.2405906753951,24.1978120357143,65.0135329425336
42.5,20,0,1148.6933350319,992.40682672405,1317.83016683531
42.5,20,1,740.296488649152,586.948082379544,911.335428135556
42.5,30,0,924.941027718904,790.604398443317,1075.25226158628
42.5,30,1,547.199227000414,431.411879424253,684.458388720321
42.5,40,0,719.404731390496,591.953820569919,864.069353538613
42.5,40,1,383.856653644944,300.232809480956,487.640048195632
42.5,50,0,513.816742514596,406.295940139249,621.94520264405
42.5,50,1,249.79753472058,191.12539676876,317.483307451042
42.5,60,0,368.146121640905,263.577963430239,486.472719991076
42.5,60,1,162.302099944194,113.517060832029,224.251724560053
42.5,70,0,239.990101795973,154.188624367513,340.639579768224
42.5,70,1,101.914324278361,64.8032028765558,151.42912568767
42.5,80,0,160.430140957179,90.2109126099982,249.299383233594
42.5,80,1,61.3022966238849,36.5927372851968,96.9823692722889
62.5,20,0,1260.42707176733,1121.07437751428,1403.25149528659
62.5,20,1,853.947859282551,701.129829004139,1010.86286946461
62.5,30,0,1048.17866109881,923.282532791887,1189.59168625389
62.5,30,1,650.715383504333,532.736914518906,781.575560903916
62.5,40,0,844.961532000825,715.628781211519,993.8751743154
62.5,40,1,475.867141916602,382.551952674728,593.113257335974
62.5,50,0,637.501990960071,513.676602671288,775.614801093652
62.5,50,1,320.358793005328,251.578067096098,401.649414495794
62.5,60,0,463.722352595249,344.145827281457,594.715865961744
62.5,60,1,212.196164749355,152.878389658555,285.098668193587
62.5,70,0,309.986425233667,207.485492174728,427.086575839334
62.5,70,1,132.773775374942,87.6395456278985,191.360175671623
62.5,80,0,194.957642343335,114.468530883175,290.249430288585
62.5,80,1,83.1540430561909,49.7373256883039,129.251005422713
62.5,85,0,154.72889926715,84.4057434305719,242.373051396405
87.5,20,0,1413.57755030316,1276.30621741336,1556.03230485454
87.5,20,1,1008.29572729886,850.722970193966,1168.75892782133
87.5,30,0,1209.72884911776,1082.61915384775,1350.98963578286
87.5,30,1,806.433732181352,668.130326266837,966.495072022865
87.5,40,0,980.760101078438,867.715592902276,1100.31885586341
87.5,40,1,598.907297238717,494.5235104666,719.757513725214
87.5,50,0,802.326006536928,667.053481184886,944.890880598277
87.5,50,1,431.268269144364,342.71878907514,540.620695096628
87.5,60,0,573.60500040079,447.781138806018,705.176088860361
87.5,60,1,292.373016532493,217.776977195252,383.302644128701
87.5,70,0,413.201167347209,291.261495361013,550.084122656735
87.5,70,1,191.277672475368,128.874215533628,268.989139939192
87.5,80,0,274.93788355375,169.331218694224,399.2220830141
87.5,80,1,115.67557017343,70.92686566663,176.338586192324
125,20,0,1595.16214478003,1476.94860436287,1711.51689924217
125,20,1,1242.1066171232,1073.28090339564,1410.88731134024
125,30,0,1420.55618474622,1302.13217533181,1545.31290924481
125,30,1,1031.57733775526,880.575386935489,1191.1654055202
125,40,0,1221.93073193454,1096.38458377283,1356.27456820947
125,40,1,810.815281324756,683.526591271431,943.364388153782
125,50,0,998.739687990725,865.205649964734,1132.66917052468
125,50,1,617.511407013545,500.276577924828,754.846255144482
125,60,0,808.470361079209,653.93896555563,970.176584473843
125,60,1,444.963848989641,338.422054194695,571.137296162618
125,70,0,590.032350163283,437.411325278163,751.829713043361
125,70,1,302.709965169132,212.12733040635,414.014464805193
125,80,0,409.454196950769,268.8758143268,563.165103427082
125,80,1,187.860597759332,120.69178036742,273.482787871383
175,20,1,1526.30041238178,1349.46466082108,1689.45913778682
175,30,0,1660.29486811748,1543.54023860331,1768.20275669781
175,30,1,1324.07236234042,1157.31207587501,1484.14410568756
175,40,0,1492.61576138152,1362.95079369817,1617.52670411566
175,40,1,1131.77185442916,953.88295511643,1313.36498041019
175,50,0,1308.23824904495,1151.46879546922,1459.10336155328
175,50,1,918.909007987511,746.778890763572,1105.75918548871
175,60,0,1096.50629279553,918.635243145554,1271.24108815883
175,60,1,688.251540500079,539.049563486285,848.701223535873
175,70,1,501.810508922278,365.797947876232,657.493080909627
175,80,0,659.843666033786,461.465714225427,860.944124096811
200,20,0,1836.72214511182,1756.2740777691,1902.69812139023
200,30,0,1746.12821628879,1638.10154315338,1840.37974840829
200,30,1,1470.7087783927,1286.54251775293,1640.52707289218
200,40,0,1611.82520714425,1480.43439928639,1731.96757106398
200,40,1,1265.25976847143,1079.03853505018,1442.84030294876
200,50,0,1450.34826085346,1286.82792854641,1602.78494469472
200,50,1,1060.80903996215,870.88662630812,1257.87828243377
200,60,0,1247.57422952132,1056.23057564941,1428.23159594074
200,60,1,857.093840153282,663.414639665558,1067.1632622852
200,70,1,645.4232750629,465.375617893513,849.610416053875
200,80,1,455.222194767472,299.592292973192,637.547820359658
