id,selectedchoice,cost,orca_5,orca_10,orca_15,whale_50,whale_75,whale_100,otter_25,otter_50,otter_75,vessel_nc,vessel_mc,time_2,time_4,time_6,glacier_yes,grp,ana_otter_25,ana_otter_50,ana_otter_75,ana_orca_5,ana_orca_10,ana_orca_15,ana_glacier_yes,ana_cost_cost,ana_whale_50,ana_whale_75,ana_whale_100,ana_time_2,ana_time_4,ana_time_6,ana_vessel_nc,ana_vessel_mc
5,0,250,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1052,0,0,0,0,0,0,1,250,0,0,0,1,0,0,0,0
5,1,150,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1052,0,0,0,0,0,0,1,150,0,0,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,200,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1152,0,0,0,0,0,0,1,200,0,0,0,1,0,0,0,0
5,1,100,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1152,0,0,0,0,0,0,1,100,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,200,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1252,0,0,0,0,0,0,0,200,0,0,0,1,0,0,0,0
5,1,150,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1252,0,0,0,0,0,0,0,150,0,0,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,200,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1352,0,0,0,0,0,0,0,200,0,0,0,1,0,0,0,0
5,1,100,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1352,0,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,250,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1452,0,0,0,0,0,0,0,250,0,0,0,1,0,0,0,0
5,1,200,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1452,0,0,0,0,0,0,0,200,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1552,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0
5,0,300,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1552,0,0,0,0,0,0,1,300,0,0,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,250,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1652,0,0,0,0,0,0,1,250,0,0,0,1,0,0,0,0
5,1,100,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1652,0,0,0,0,0,0,1,100,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,250,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1752,0,0,0,0,0,0,1,250,0,0,0,1,0,0,0,0
5,1,150,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1752,0,0,0,0,0,0,0,150,0,0,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,250,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1852,0,0,0,0,0,0,1,250,0,0,0,0,0,1,0,0
5,1,100,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1852,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,200,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,250,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,250,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,2974,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
7,0,300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,200,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3074,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1,100,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,100,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3174,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,0,200,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,3174,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,250,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3274,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,150,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,3274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,250,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,1,100,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
